sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
45,tree_Sikar_Sikar_6_120_low_density_near_northeast_0_20250528_080730_041291.jpg,93,192,False,0.6964711546897888,0.014820604585111141,0.6964711546897888
89,tree_Sikar_Sikar_11_182_low_density_near_south_0_20250528_092344_857584.jpg,93,23,False,0.38694247603416443,0.007522666826844215,0.38694247603416443
95,tree_Sikar_Sikar_12_175_low_density_near_south_0_20250528_093505_305591.jpg,93,23,False,0.5121811628341675,0.002093469025567174,0.5121811628341675
167,tree_Sikar_Sikar_46_14_low_density_near_center_0_20250528_150934_988094.jpg,93,23,False,0.6663404107093811,0.08678273111581802,0.6663404107093811
198,tree_Sikar_Sikar_53_66_low_density_near_northeast_0_20250528_161145_804668.jpg,93,192,False,0.42949044704437256,0.011946719139814377,0.42949044704437256
220,tree_Sikar_Sikar_58_72_low_density_near_center_0_20250528_164432_903976.jpg,93,176,False,0.49461492896080017,0.0002856922219507396,0.49461492896080017
221,tree_Sikar_Sikar_58_72_low_density_near_center_0_20250528_164432_903976.jpg,93,176,False,0.49461492896080017,0.0002856922219507396,0.49461492896080017
288,tree_Sikar_Sikar_99_7_low_density_near_northeast_0_20250528_195230_473643.jpg,93,176,False,0.6002019643783569,0.000694742426276207,0.6002019643783569
440,tree_Sikar_Sikar_7_149_low_density_near_center_0_20250526_065812_907286.jpg,93,86,False,0.32541927695274353,0.30093973875045776,0.32541927695274353
458,tree_Nagaur_Nagaur_10_297_low_density_far_west_0_20250526_071930_382011.jpg,93,72,False,0.2594551742076874,0.0164188202470541,0.2594551742076874
594,tree_Jhunjhunu_Jhunjhunu_45_65_low_density_near_west_0_20250526_102536_680808.jpg,93,146,False,0.24170099198818207,0.006756738759577274,0.24170099198818207
