sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
8,tree_Barmer_Barmer_2_57_low_density_near_center_0_20250528_070555_670140.jpg,72,23,False,0.5175532698631287,0.007416483014822006,0.5175532698631287
13,tree_Sikar_Sikar_3_36_low_density_near_west_0_20250528_071051_084501.jpg,72,23,False,0.7451478838920593,0.1442563235759735,0.7451478838920593
31,tree_Sikar_Sikar_5_21_low_density_near_west_0_20250528_074705_965398.jpg,72,72,True,0.5589482188224792,0.5589482188224792,0.5589482188224792
42,tree_Sikar_Sikar_6_5_low_density_near_northeast_0_20250528_080143_980661.jpg,72,23,False,0.6665027737617493,0.05190461501479149,0.6665027737617493
54,tree_Sikar_Sikar_7_185_low_density_near_southeast_0_20250528_082735_419654.jpg,72,146,False,0.6754244565963745,0.18409907817840576,0.6754244565963745
55,tree_Sikar_Sikar_7_234_low_density_far_southwest_0_20250528_083046_829927.jpg,72,146,False,0.9958789348602295,4.6269491576822475e-05,0.9958789348602295
60,tree_Sikar_Sikar_8_77_low_density_near_southeast_0_20250528_083620_048662.jpg,72,192,False,0.9554256796836853,0.00534282298758626,0.9554256796836853
78,tree_Sikar_Sikar_10_28_low_density_near_northwest_0_20250528_090053_624474.jpg,72,23,False,0.5185312032699585,0.3136962950229645,0.5185312032699585
81,tree_Sikar_Sikar_10_69_low_density_near_south_0_20250528_090357_203467.jpg,72,192,False,0.45242777466773987,0.17687268555164337,0.45242777466773987
115,tree_Sikar_Sikar_32_18_low_density_near_southeast_0_20250528_131342_013152.jpg,72,23,False,0.9694738388061523,0.01482059620320797,0.9694738388061523
161,tree_Sikar_Sikar_43_57_low_density_near_west_0_20250528_145500_017438.jpg,72,146,False,0.5140290856361389,0.17109772562980652,0.5140290856361389
183,tree_Sikar_Sikar_48_61_low_density_far_southwest_0_20250528_153126_139718.jpg,72,176,False,0.6788820624351501,0.01739981770515442,0.6788820624351501
242,tree_Sikar_Sikar_67_10_low_density_near_east_0_20250528_173035_483259.jpg,72,176,False,0.4499790370464325,0.019065551459789276,0.4499790370464325
267,tree_Sikar_Sikar_81_67_low_density_far_northeast_0_20250528_184550_721534.jpg,72,23,False,0.5291537046432495,0.0010925850365310907,0.5291537046432495
284,tree_Sikar_Sikar_98_8_low_density_near_southeast_0_20250528_194914_719182.jpg,72,180,False,0.36746007204055786,0.025456195697188377,0.36746007204055786
285,tree_Sikar_Sikar_98_8_low_density_near_west_0_20250528_194915_061247.jpg,72,23,False,0.5683963894844055,0.01379852369427681,0.5683963894844055
305,tree_Sikar_Sikar_112_26_low_density_near_east_0_20250528_202947_784551.jpg,72,176,False,0.4813461899757385,0.027836866676807404,0.4813461899757385
308,tree_Sikar_Sikar_115_10_low_density_near_west_0_20250528_203845_903320.jpg,72,23,False,0.6255022883415222,0.016169220209121704,0.6255022883415222
356,tree_Pali_Pali_1_134_low_density_near_center_0_20250526_060430_150371.jpg,72,144,False,0.9957671165466309,5.764186425949447e-06,0.9957671165466309
378,tree_Jaipur_Jaipur_2_433_low_density_near_south_0_20250526_062104_767357.jpg,72,23,False,0.9514416456222534,0.0005656771827489138,0.9514416456222534
386,tree_Jhunjhunu_Jhunjhunu_3_204_low_density_near_north_0_20250526_062504_539310.jpg,72,72,True,0.7363453507423401,0.7363453507423401,0.7363453507423401
455,tree_Pali_Pali_10_4_low_density_near_west_0_20250526_071416_996548.jpg,72,23,False,0.7917581796646118,0.048904772847890854,0.7917581796646118
494,tree_Jhunjhunu_Jhunjhunu_14_357_low_density_near_north_0_20250526_075155_261540.jpg,72,146,False,0.29686278104782104,0.22238296270370483,0.29686278104782104
502,tree_Jhunjhunu_Jhunjhunu_16_131_low_density_far_south_0_20250526_080328_682661.jpg,72,23,False,0.8513212203979492,0.012234322726726532,0.8513212203979492
648,tree_Sikar_Sikar_134_3_low_density_near_north_0_20250526_133817_838275.jpg,72,23,False,0.27137312293052673,0.102945476770401,0.27137312293052673
665,tree_Pali_Pali_0_329_low_density_far_northeast_0_20250711_225938_748412.jpg,72,23,False,0.37639084458351135,0.11024592071771622,0.37639084458351135
686,tree_Kotputli-Behror_Kotputli-Behror_2_384_low_density_far_west_0_20250712_023032_938745.jpg,72,23,False,0.940535306930542,0.006730393972247839,0.940535306930542
