Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6395904436860068,0.6890437018641877,0.5105083678293731,1465.0,488.0
Transitional plain zone of Inland drainage,0.7110778443113772,0.5532333855448646,0.21839144383119968,668.0,123.0
Semi arid eastern plain,0.576,0.5974842767295598,0.4967279312354163,250.0,106.0
Transitional plain zone of Luni Basin,0.609375,0.5689878637916813,0.692377207496924,192.0,123.0
Flood prone eastern plain,0.5096153846153846,0.6087131908027431,0.5212419106193125,104.0,37.0
Sub humid southern plain and alluvial hill,0.5555555555555556,0.4612154150197628,0.49961771063185856,90.0,44.0
South eastern humid plain,0.5409836065573771,0.732967032967033,0.6743046497641381,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6415094339622641,0.5934343434343435,0.3096057371786688,53.0,9.0
Southern humid plain,0.65,0.7146464646464646,0.6269516667542984,40.0,18.0
Irrigated North Western Plain,0.7142857142857143,0.5,0.41666666666666663,7.0,2.0
