Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.673037542662116,0.7195455172486974,0.4378289116019519,1465.0,333.0
Transitional plain zone of Inland drainage,0.6152694610778443,0.7011884550084889,0.3948080052952819,668.0,155.0
Semi arid eastern plain,0.72,0.7077726123480956,0.48853936062156955,250.0,67.0
Transitional plain zone of Luni Basin,0.890625,0.7749874434957308,0.33476502151751253,192.0,11.0
Flood prone eastern plain,0.6057692307692307,0.7535296490520371,0.6908324655828377,104.0,37.0
Sub humid southern plain and alluvial hill,0.7,0.5704295704295704,0.20629275711392525,90.0,13.0
South eastern humid plain,0.7213114754098361,0.6963824289405685,0.4698989930137355,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5283018867924528,0.5653846153846154,0.2994324824895116,53.0,13.0
Southern humid plain,0.575,0.7954545454545454,0.7585956511223109,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.16666666666666663,0.16666666666666666,7.0,1.0
