sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
8,tree_Nagaur_Nagaur_0_368_low_density_far_southwest_0_20250526_060215_039004.jpg,192,192,True,0.9565955996513367,0.9565955996513367,0.9565955996513367
27,tree_Jaipur_Jaipur_3_222_low_density_near_north_0_20250526_062524_614929.jpg,192,23,False,0.8217284083366394,0.01657930761575699,0.8217284083366394
32,tree_Nagaur_Nagaur_3_463_low_density_near_center_0_20250526_062934_194526.jpg,192,192,True,0.7801335453987122,0.7801335453987122,0.7801335453987122
48,tree_Sikar_Sikar_5_300_low_density_near_north_0_20250526_064320_024316.jpg,192,23,False,0.514517068862915,0.010846496559679508,0.514517068862915
61,tree_Sikar_Sikar_7_45_low_density_far_southwest_0_20250526_065544_510783.jpg,192,192,True,0.9949938654899597,0.9949938654899597,0.9949938654899597
81,tree_Jhunjhunu_Jhunjhunu_10_38_low_density_far_center_0_20250526_071435_278488.jpg,192,23,False,0.7686872482299805,0.022589830681681633,0.7686872482299805
92,tree_Jaipur_Jaipur_11_186_low_density_far_northeast_0_20250526_072339_190705.jpg,192,192,True,0.3865470588207245,0.3865470588207245,0.3865470588207245
93,tree_Jhunjhunu_Jhunjhunu_11_215_low_density_near_north_0_20250526_072408_756104.jpg,192,23,False,0.9370323419570923,0.021979758515954018,0.9370323419570923
113,tree_Sikar_Sikar_14_366_low_density_far_south_0_20250526_075217_995710.jpg,192,146,False,0.6033058166503906,0.014589391648769379,0.6033058166503906
115,tree_Pali_Pali_15_30_low_density_near_east_0_20250526_075303_007634.jpg,192,137,False,0.3585105538368225,0.20741678774356842,0.3585105538368225
128,tree_Jhunjhunu_Jhunjhunu_17_2_low_density_far_southwest_0_20250526_080704_102807.jpg,192,176,False,0.8502815365791321,0.13877573609352112,0.8502815365791321
139,tree_Jaipur_Jaipur_20_94_low_density_far_northeast_0_20250526_082758_531028.jpg,192,23,False,0.288411021232605,0.019087808206677437,0.288411021232605
