Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.647098976109215,0.7236123048843898,0.4442817030530612,1465.0,333.0
Transitional plain zone of Inland drainage,0.594311377245509,0.7093630132679367,0.414124795002887,668.0,155.0
Semi arid eastern plain,0.7,0.7178044205203491,0.5074868726599354,250.0,67.0
Transitional plain zone of Luni Basin,0.9010416666666666,0.7348066298342543,0.20816809395809022,192.0,11.0
Flood prone eastern plain,0.5576923076923077,0.746268656716418,0.684103659183549,104.0,37.0
Sub humid southern plain and alluvial hill,0.6333333333333333,0.5864135864135864,0.18645481846237882,90.0,13.0
South eastern humid plain,0.5901639344262295,0.5736434108527132,0.3760523047112314,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.49056603773584906,0.5884615384615384,0.3136224798520687,53.0,13.0
Southern humid plain,0.6,0.7146464646464646,0.6688699339382269,40.0,18.0
Irrigated North Western Plain,0.2857142857142857,0.16666666666666663,0.16666666666666666,7.0,1.0
