Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6416382252559727,0.7293309646458714,0.556692326243624,1465.0,488.0
Transitional plain zone of Inland drainage,0.7035928143712575,0.5957634071753561,0.23576828487138896,668.0,123.0
Semi arid eastern plain,0.572,0.6565120545073375,0.5511022549065199,250.0,106.0
Transitional plain zone of Luni Basin,0.640625,0.6246023329798516,0.7428648086897718,192.0,123.0
Flood prone eastern plain,0.5384615384615384,0.6950383219039935,0.6656397012438844,104.0,37.0
Sub humid southern plain and alluvial hill,0.5444444444444444,0.5279150197628459,0.5466083790654271,90.0,44.0
South eastern humid plain,0.5901639344262295,0.8054945054945055,0.7352330165850934,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6792452830188679,0.6262626262626262,0.3517774113012208,53.0,9.0
Southern humid plain,0.575,0.7752525252525252,0.6867994231246429,40.0,18.0
Irrigated North Western Plain,0.5714285714285714,0.39999999999999997,0.3333333333333333,7.0,2.0
