Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.677815699658703,0.7031271554239753,0.4288177845697544,1465.0,333.0
Transitional plain zone of Inland drainage,0.6287425149700598,0.6869647236370495,0.39629843929563413,668.0,155.0
Semi arid eastern plain,0.704,0.6762906777587473,0.46861326377385204,250.0,67.0
Transitional plain zone of Luni Basin,0.8958333333333334,0.7503766951280764,0.2750228663519177,192.0,11.0
Flood prone eastern plain,0.6057692307692307,0.7422347720855184,0.6892028979357772,104.0,37.0
Sub humid southern plain and alluvial hill,0.6888888888888889,0.5834165834165834,0.18627996556243537,90.0,13.0
South eastern humid plain,0.7377049180327869,0.5723514211886305,0.4129252128666073,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5283018867924528,0.6153846153846154,0.4049984219866667,53.0,13.0
Southern humid plain,0.6,0.7297979797979799,0.6609333362274294,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.16666666666666663,0.16666666666666666,7.0,1.0
