Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6744027303754266,0.7454276221957481,0.5876256197046676,1465.0,488.0
Transitional plain zone of Inland drainage,0.7440119760479041,0.6137913030506452,0.25667742051937503,668.0,123.0
Semi arid eastern plain,0.612,0.6835036687631028,0.5865005395979536,250.0,106.0
Transitional plain zone of Luni Basin,0.6510416666666666,0.6857546836337929,0.7726360850616287,192.0,123.0
Flood prone eastern plain,0.5961538461538461,0.7305365066559096,0.698612877966498,104.0,37.0
Sub humid southern plain and alluvial hill,0.5333333333333333,0.612401185770751,0.618783442498619,90.0,44.0
South eastern humid plain,0.6557377049180327,0.7593406593406594,0.7184285867314469,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6981132075471698,0.6262626262626263,0.2555981306658814,53.0,9.0
Southern humid plain,0.575,0.6893939393939394,0.6473526125967042,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.3,0.29166666666666663,7.0,2.0
