Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6395904436860068,0.7325588955819924,0.5710200812778669,1465.0,488.0
Transitional plain zone of Inland drainage,0.7035928143712575,0.5891250839113895,0.2318778621903537,668.0,123.0
Semi arid eastern plain,0.572,0.6712526205450734,0.5791522124471813,250.0,106.0
Transitional plain zone of Luni Basin,0.65625,0.6368563685636858,0.7491406784517526,192.0,123.0
Flood prone eastern plain,0.5,0.7014925373134329,0.6569521049393638,104.0,37.0
Sub humid southern plain and alluvial hill,0.5444444444444444,0.537796442687747,0.5583538637262649,90.0,44.0
South eastern humid plain,0.5901639344262295,0.8274725274725275,0.7928242143613106,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6792452830188679,0.6363636363636364,0.2871848554935203,53.0,9.0
Southern humid plain,0.525,0.7297979797979798,0.677571400125748,40.0,18.0
Irrigated North Western Plain,0.5714285714285714,0.3,0.29166666666666663,7.0,2.0
