Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6498293515358362,0.737117640149672,0.5682232839980589,1465.0,488.0
Transitional plain zone of Inland drainage,0.7215568862275449,0.6111359737450586,0.2517554938330258,668.0,123.0
Semi arid eastern plain,0.588,0.6736766247379455,0.566235470767019,250.0,106.0
Transitional plain zone of Luni Basin,0.6458333333333334,0.6213031695534347,0.7289801799839785,192.0,123.0
Flood prone eastern plain,0.5384615384615384,0.7059298104074223,0.6789208157123388,104.0,37.0
Sub humid southern plain and alluvial hill,0.5555555555555556,0.5867094861660079,0.6106446791222189,90.0,44.0
South eastern humid plain,0.5573770491803278,0.7241758241758243,0.67364848494442,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.660377358490566,0.6313131313131313,0.3158447217270747,53.0,9.0
Southern humid plain,0.525,0.7398989898989898,0.6925343492052602,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.3,0.29166666666666663,7.0,2.0
